id_konta;id_podmiotu;numer_konta;nazwa_banku
KONTO_P_82;PODMIOT_29;19 1276 0097 7631 7614 0197;J.P. Morgan Europe
KONTO_P_83;PODMIOT_29;44 0565 6808 2339 5941 2144;Banque PSA Finance
KONTO_P_84;PODMIOT_29;25 5507 0085 1004 2214 5708;Bank Gospodarstwa Krajowego
KONTO_P_85;PODMIOT_30;40 4399 9924 1701 0391 8614;FCE Bank Polska
KONTO_P_86;PODMIOT_30;30 6274 4751 6101 6947 3124;J.P. Morgan Europe
KONTO_P_87;PODMIOT_30;30 3503 0953 0493 9951 7163;Bank Handlowy
KONTO_P_88;PODMIOT_30;16 2341 7835 5614 1455 9965;Sygma Banque
KONTO_P_89;PODMIOT_31;90 6757 2083 1990 2925 5335;Volkswagen Bank Polska
KONTO_P_90;PODMIOT_31;40 1729 4049 8113 2980 2394;Intesa Sanpaolo
KONTO_P_91;PODMIOT_32;31 5698 4903 4115 6059 9931;Nykredit Realkredit
KONTO_P_92;PODMIOT_32;47 2442 5075 4120 8991 1166;Bank Polska Kasa Opieki
KONTO_P_93;PODMIOT_32;43 4740 8492 6337 9976 3192;Bank Handlowy
KONTO_P_94;PODMIOT_33;23 5255 3120 4105 9940 6942;Euro Bank
KONTO_P_95;PODMIOT_33;97 6553 6194 6377 2645 9629;Western Union
KONTO_P_96;PODMIOT_33;99 5778 8622 2729 8915 3504;Euro Bank
KONTO_P_97;PODMIOT_33;69 0562 0180 1157 0144 7981;RCI Banque
KONTO_P_98;PODMIOT_34;64 0098 9449 6111 7905 3473;Bank Millennium
KONTO_P_99;PODMIOT_35;21 7857 1549 2763 2898 6019;Skandinaviska Enskilda Banken
KONTO_P_100;PODMIOT_35;85 7237 4365 5565 2868 6958;Credit Agricole Bank Polska
KONTO_P_101;PODMIOT_35;50 7145 0746 4528 2219 6089;Bank BGŻ BNP Paribas
KONTO_P_102;PODMIOT_36;74 4540 1331 6165 2787 5454;Banque PSA Finance
KONTO_P_103;PODMIOT_36;92 0822 6869 6272 8572 9169;mBank
KONTO_P_104;PODMIOT_36;54 7851 4083 7024 6747 4454;Alior Bank
KONTO_P_105;PODMIOT_36;68 7443 5131 9319 5869 6760;Plus Bank
KONTO_P_106;PODMIOT_36;48 1591 3133 8465 3109 6568;Aareal Bank
KONTO_P_107;PODMIOT_37;92 7901 6612 2297 5460 3107;J.P. Morgan Europe
KONTO_P_108;PODMIOT_37;52 0613 0933 8703 1869 8171;Vanquis Bank
KONTO_P_109;PODMIOT_37;49 7590 1940 9171 3245 6255;BNP Paribas
KONTO_P_110;PODMIOT_38;55 4107 9680 6164 8509 8239;Getin Noble Bank
KONTO_P_111;PODMIOT_38;55 3685 7077 7008 8387 4862;ING Bank Śląski
KONTO_P_112;PODMIOT_38;12 2270 4772 2084 2675 8728;CAIXABANK
KONTO_P_113;PODMIOT_39;20 3574 3238 9172 6267 1339;Bank Millennium
KONTO_P_114;PODMIOT_39;96 7042 3594 5428 1628 3626;RCI Banque
KONTO_P_115;PODMIOT_40;80 3197 4967 1471 6657 3885;FM Bank PBP
KONTO_P_116;PODMIOT_40;15 8573 5301 5259 7851 8578;Bank BPH
KONTO_P_117;PODMIOT_40;35 7735 3923 6330 9039 3591;Bank Zachodni WBK
KONTO_P_118;PODMIOT_41;57 8336 0962 7668 1530 6313;Western Union
KONTO_P_119;PODMIOT_41;43 0117 7589 6499 9601 7154;mBank
KONTO_P_120;PODMIOT_41;16 8884 8158 4811 2061 7533;Mercedes-Benz Bank Polska
KONTO_P_121;PODMIOT_41;31 5546 8926 4601 9161 4602;FM Bank PBP
KONTO_P_122;PODMIOT_42;14 0686 1771 3048 6253 4394;Credit Agricole Bank Polska
KONTO_P_123;PODMIOT_42;97 6609 2837 2545 0222 4755;Citibank Europe
KONTO_P_124;PODMIOT_42;94 3885 9302 8882 6071 0622;Vanquis Bank
KONTO_P_125;PODMIOT_43;56 2392 8340 4198 8346 1256;Volkswagen Bank Polska
KONTO_P_126;PODMIOT_44;37 8087 0548 0704 9463 5591;FM Bank PBP
KONTO_P_127;PODMIOT_45;42 1557 9470 4820 4287 7548;Powszechna Kasa Oszczędności Bank Polski SA (Inteligo)
KONTO_P_128;PODMIOT_45;70 0826 7018 8273 4841 8747;Pekao Bank Hipoteczny
KONTO_P_129;PODMIOT_45;37 1026 4034 5347 3948 3875;Sygma Banque
KONTO_P_130;PODMIOT_45;26 5279 3891 0152 9120 6169;Haitong Bank, S.A., Oddział w Polsce
KONTO_P_131;PODMIOT_45;72 6765 2614 5954 5317 6703;Raiffeisen Polbank
KONTO_P_132;PODMIOT_46;10 2607 3377 2603 3083 6576;Nykredit Realkredit
KONTO_P_133;PODMIOT_46;25 5500 9912 7364 9325 4631;Bank Handlowy
KONTO_P_134;PODMIOT_46;90 8889 3037 8289 5547 7725;Nykredit Realkredit
KONTO_P_135;PODMIOT_46;93 6633 7313 3027 2366 7533;Getin Noble Bank
KONTO_P_136;PODMIOT_46;85 1881 7670 8403 5325 4113;ING Bank Śląski
KONTO_P_137;PODMIOT_47;93 2109 0725 0676 1708 7536;Bank Millennium
KONTO_P_138;PODMIOT_47;57 1351 6687 5466 0177 4454;Bank Pocztowy
KONTO_P_139;PODMIOT_47;52 3818 6275 4858 3253 8024;Credit Agricole Bank Polska
KONTO_P_140;PODMIOT_47;19 3638 9375 1992 3688 5803;Intesa Sanpaolo
KONTO_P_141;PODMIOT_48;52 2814 2994 7254 9084 4319;CAIXABANK
KONTO_P_142;PODMIOT_48;61 7308 8847 1949 3643 9830;Plus Bank
KONTO_P_143;PODMIOT_49;35 1095 9030 6643 1540 3203;Vanquis Bank
KONTO_P_144;PODMIOT_49;70 5521 0813 4197 1857 3934;FCE Bank Polska
KONTO_P_145;PODMIOT_49;36 8369 5292 0520 4712 0038;Bank BPH
KONTO_P_146;PODMIOT_49;65 8737 6101 4359 2857 7160;Aareal Bank
KONTO_P_147;PODMIOT_50;56 6477 3872 6047 2048 1803;Western Union
KONTO_P_148;PODMIOT_51;47 6626 3273 5709 1155 5643;Nordea Bank
KONTO_P_149;PODMIOT_51;44 3599 4242 2935 1253 6431;Elavon Financial Services
KONTO_P_150;PODMIOT_51;79 2889 5402 3958 6495 1303;Toyota Bank Polska
KONTO_P_151;PODMIOT_52;86 2963 3925 8617 2842 8389;EUROCLEAR Bank
KONTO_P_152;PODMIOT_52;41 6247 4623 8663 2944 9562;Elavon Financial Services
KONTO_P_153;PODMIOT_53;10 3995 4048 5943 7933 7968;Bank Pocztowy
KONTO_P_154;PODMIOT_53;58 9623 6861 8897 5534 2515;DZ Bank AG
KONTO_P_155;PODMIOT_53;78 3697 4552 1522 7019 6758;Pekao Bank Hipoteczny
KONTO_P_156;PODMIOT_54;40 5216 1373 3708 2436 3092;Sygma Banque
KONTO_P_157;PODMIOT_54;64 9478 0221 8093 0576 8587;Santander Consumer Bank
KONTO_P_158;PODMIOT_54;62 6189 0040 1263 0370 3297;PKO Bank Hipoteczny
KONTO_P_159;PODMIOT_55;89 3722 5615 3154 0890 5852;Deutsche Bank Polska
KONTO_P_160;PODMIOT_55;29 1595 6778 4752 5659 8809;Saxo Bank
KONTO_P_161;PODMIOT_55;46 2491 9990 9181 1180 7033;Elavon Financial Services
KONTO_P_162;PODMIOT_56;64 2896 7703 2777 5834 6928;Sygma Banque
KONTO_P_163;PODMIOT_56;61 4379 0756 3246 9169 7031;Mercedes-Benz Bank Polska
KONTO_P_164;PODMIOT_56;47 2030 2778 6194 6747 8560;Bank Ochrony Środowiska
KONTO_P_165;PODMIOT_56;95 9190 0801 1258 3690 2698;Citibank Europe
KONTO_P_166;PODMIOT_57;44 0497 7329 3563 3074 1555;Aareal Bank
KONTO_P_167;PODMIOT_57;26 9853 0214 0316 0166 9937;Haitong Bank, S.A., Oddział w Polsce
KONTO_P_168;PODMIOT_57;80 9904 2531 3486 9548 2342;CAIXABANK
KONTO_P_169;PODMIOT_57;48 4892 6021 4340 7137 7690;Plus Bank
KONTO_P_170;PODMIOT_57;28 7756 3456 2706 1157 8608;Bank Millennium
KONTO_P_171;PODMIOT_58;83 9824 5164 6197 5481 2254;Banque PSA Finance
KONTO_P_172;PODMIOT_59;71 2566 9104 1065 4894 7280;Banque PSA Finance
KONTO_P_173;PODMIOT_59;82 9671 0725 5885 6745 8895;Raiffeisen Polbank
KONTO_P_174;PODMIOT_59;35 9002 6375 8485 9817 2464;Bank of China
KONTO_P_175;PODMIOT_60;40 9802 6073 4451 7065 2778;Bank Pocztowy
KONTO_P_176;PODMIOT_60;47 1947 7126 8334 9101 4873;Sygma Banque
KONTO_P_177;PODMIOT_60;93 7022 5427 6662 8485 1315;Banif Plus Bank
KONTO_P_178;PODMIOT_60;95 3283 6397 2815 6668 2079;DNB Bank Polska
KONTO_P_179;PODMIOT_60;18 4948 2318 8057 1108 6692;Nordea Bank
KONTO_P_180;PODMIOT_61;88 5018 7555 5553 4265 8183;Industrial and Commercial Bank of China
KONTO_P_181;PODMIOT_61;86 3444 5602 2368 1801 0294;Banque PSA Finance
KONTO_P_182;PODMIOT_62;16 5973 0899 1639 1018 6318;Citibank Europe
KONTO_P_183;PODMIOT_62;11 0588 2436 0818 6020 0082;Vanquis Bank
KONTO_P_184;PODMIOT_62;11 2603 6090 1055 9225 6464;Credit Agricole Bank Polska
KONTO_P_185;PODMIOT_62;78 3217 5454 4160 0023 4652;Santander Consumer Bank
KONTO_P_186;PODMIOT_63;39 1268 3271 4036 0280 6377;Bank Pocztowy
KONTO_P_187;PODMIOT_63;45 2572 6203 5226 2492 5097;BNP Paribas Securities Services
KONTO_P_188;PODMIOT_63;94 2091 3331 5619 3645 8648;Bank Ochrony Środowiska
KONTO_P_189;PODMIOT_64;62 2357 1450 2332 7756 2275;Raiffeisen Polbank
KONTO_P_190;PODMIOT_64;40 7736 3423 3498 6733 9241;Deutsche Bank Polska
KONTO_P_191;PODMIOT_64;39 5679 9076 2199 0437 2349;Alior Bank
KONTO_P_192;PODMIOT_65;95 2094 3336 6589 9046 6545;BNP Paribas Securities Services
KONTO_P_193;PODMIOT_65;95 0513 3567 2704 7601 8177;EUROCLEAR Bank
KONTO_P_194;PODMIOT_65;99 3701 5230 3882 4123 9588;Skandinaviska Enskilda Banken
KONTO_P_195;PODMIOT_66;65 1462 9690 2927 7553 6647;Danske Bank
KONTO_P_196;PODMIOT_66;35 7538 6234 7702 6405 7485;Bank Polska Kasa Opieki
KONTO_P_197;PODMIOT_66;78 7088 5633 5718 1216 2491;Danske Bank
KONTO_P_198;PODMIOT_66;24 5903 9710 7382 0086 3757;Bank of Tokyo-Mitsubishi UFJ Polska
KONTO_P_199;PODMIOT_67;31 6041 7350 3706 7886 0358;Bank Zachodni WBK
KONTO_P_200;PODMIOT_67;96 3202 7642 0796 9897 3086;Mercedes-Benz Bank Polska
KONTO_P_201;PODMIOT_68;54 2181 6935 3255 5334 8567;Bank BGŻ BNP Paribas
KONTO_P_202;PODMIOT_68;79 0805 5159 7230 0847 3535;Euro Bank
KONTO_P_203;PODMIOT_68;58 7241 0512 9398 9134 8295;Bank BGŻ BNP Paribas
KONTO_P_204;PODMIOT_69;70 1876 5318 9056 0838 3039;Alior Bank
KONTO_P_205;PODMIOT_69;51 8324 4449 4001 0533 0155;Svenska Handelsbanken
KONTO_P_206;PODMIOT_70;62 6953 9561 1294 7216 3310;Haitong Bank, S.A., Oddział w Polsce
KONTO_P_207;PODMIOT_70;46 2366 0581 6485 1129 6754;Ikano Bank
KONTO_P_208;PODMIOT_71;37 6464 6525 8882 1249 2823;Citibank Europe
KONTO_P_209;PODMIOT_71;26 2232 4999 3353 8693 9058;Citibank Europe
KONTO_P_210;PODMIOT_71;47 2697 2160 5396 6075 1153;Bank Handlowy
KONTO_P_211;PODMIOT_71;59 9499 1613 4123 2153 8824;Alior Bank
KONTO_P_212;PODMIOT_72;80 2528 6753 6229 1504 3910;Société Générale
KONTO_P_213;PODMIOT_73;26 7687 3499 0421 2706 0396;Intesa Sanpaolo
KONTO_P_214;PODMIOT_73;49 3876 4599 4787 3706 9133;Nordea Bank
KONTO_P_215;PODMIOT_74;89 3411 9661 9854 3929 2751;Nordea Bank
KONTO_P_216;PODMIOT_74;93 1093 4441 1083 6980 3555;Aareal Bank
KONTO_P_217;PODMIOT_74;49 3872 1603 4471 0116 7649;Western Union
KONTO_P_218;PODMIOT_74;81 9096 8918 0637 7683 2606;Bank of China
KONTO_P_219;PODMIOT_75;35 9265 7001 7933 4454 6224;FCE Bank Polska
KONTO_P_220;PODMIOT_75;95 6280 6426 5005 3433 0178;Bank BGŻ BNP Paribas
KONTO_P_221;PODMIOT_75;77 4463 3575 2770 5616 5768;mBank
KONTO_P_222;PODMIOT_76;11 6495 8643 0324 6729 7314;Alior Bank
KONTO_P_223;PODMIOT_76;40 1399 3046 6669 3126 9008;Bank BPH
KONTO_P_224;PODMIOT_76;98 9120 0893 3931 0064 4811;FCE Bank Polska
KONTO_P_225;PODMIOT_77;33 2974 3661 6001 7062 0031;Getin Noble Bank
KONTO_P_226;PODMIOT_77;99 5460 9788 0634 0521 7441;Bank Millennium
KONTO_P_227;PODMIOT_77;24 9159 8862 5929 9005 5007;Fiat Bank Polska
KONTO_P_228;PODMIOT_77;11 1132 8678 5016 5509 8407;Raiffeisen Polbank
KONTO_P_229;PODMIOT_77;21 4839 6940 4638 1575 0781;HSBC Bank Polska
KONTO_P_230;PODMIOT_78;99 7581 9689 2797 0761 1614;Svenska Handelsbanken
KONTO_P_231;PODMIOT_78;98 0916 1711 9718 2316 4926;FM Bank PBP
KONTO_P_232;PODMIOT_78;60 1118 8564 8762 4179 7061;Skandinaviska Enskilda Banken
KONTO_P_233;PODMIOT_79;23 7487 1175 4624 8649 1724;Bank Pocztowy
KONTO_P_234;PODMIOT_79;92 9441 0688 1329 9802 4604;RBS Bank
KONTO_P_235;PODMIOT_79;89 2072 0415 0422 0070 7707;Vanquis Bank
KONTO_P_236;PODMIOT_79;58 2778 4755 9725 9064 0378;mBank
KONTO_P_237;PODMIOT_80;13 1136 9962 8804 0978 7621;Nykredit Realkredit
KONTO_P_238;PODMIOT_80;35 3907 1156 7308 7629 5751;Sygma Banque
KONTO_P_239;PODMIOT_80;59 0105 1560 4361 3980 1078;Plus Bank
KONTO_P_240;PODMIOT_80;19 1095 9558 7543 3042 1950;Bank Zachodni WBK
KONTO_P_241;PODMIOT_81;92 4687 8057 3687 0967 7501;BNP Paribas Securities Services
KONTO_P_242;PODMIOT_81;57 5215 9955 4834 5176 9312;Santander Consumer Bank
KONTO_P_243;PODMIOT_81;80 3705 2559 7978 2185 0237;Deutsche Bank Polska
KONTO_P_244;PODMIOT_82;89 7989 5113 3938 6624 2987;FM Bank PBP
KONTO_P_245;PODMIOT_83;31 7301 2414 3954 1271 0995;BNP Paribas
KONTO_P_246;PODMIOT_83;86 8452 1834 5831 1037 0479;EUROCLEAR Bank
KONTO_P_247;PODMIOT_83;91 8833 5603 3356 9350 7033;Fiat Bank Polska
KONTO_P_248;PODMIOT_83;70 8961 3918 7127 9986 7951;Volkswagen Bank Polska
KONTO_P_249;PODMIOT_84;14 7980 6450 4061 4142 8321;Bank of Tokyo-Mitsubishi UFJ Polska
KONTO_P_250;PODMIOT_84;36 0366 9529 0802 8836 1133;Bank Millennium
KONTO_P_251;PODMIOT_84;33 4750 8065 5813 8391 4002;Bank Ochrony Środowiska
KONTO_P_252;PODMIOT_85;73 4228 7502 6072 4037 5074;Svenska Handelsbanken
KONTO_P_253;PODMIOT_85;10 5466 7089 0242 7080 0014;Getin Noble Bank
KONTO_P_254;PODMIOT_85;34 6234 0718 3513 0087 4062;Raiffeisen Polbank
KONTO_P_255;PODMIOT_85;72 1652 3810 4908 7096 8106;Nykredit Realkredit
KONTO_P_256;PODMIOT_85;39 3894 0713 6815 2615 6109;FM Bank PBP
KONTO_P_257;PODMIOT_86;26 0922 3935 1989 6917 6699;Euro Bank
KONTO_P_258;PODMIOT_86;13 8396 7960 2119 8091 2847;Nordea Bank
KONTO_P_259;PODMIOT_86;91 2930 2681 2157 9904 6735;FCE Bank Polska
KONTO_P_260;PODMIOT_86;52 1631 8397 6602 4827 0279;Plus Bank
KONTO_P_261;PODMIOT_87;87 2948 3619 7340 3543 4585;Deutsche Bank Polska
KONTO_P_262;PODMIOT_88;49 1595 8801 5966 5577 5130;BNP Paribas
KONTO_P_263;PODMIOT_88;26 2826 9783 2791 4306 9916;Intesa Sanpaolo
KONTO_P_264;PODMIOT_88;39 8663 2696 1477 2221 5555;BNP Paribas Securities Services
KONTO_P_265;PODMIOT_88;10 6981 2965 9945 0872 6206;Getin Noble Bank
KONTO_P_266;PODMIOT_89;49 0391 0485 0002 0334 4823;Citibank Europe
KONTO_P_267;PODMIOT_89;27 9443 7266 2975 3088 3621;Getin Noble Bank
KONTO_P_268;PODMIOT_89;69 2493 7239 4744 0104 2787;Bank Ochrony Środowiska
KONTO_P_269;PODMIOT_89;25 3481 1303 5870 9206 4700;Svenska Handelsbanken
KONTO_P_270;PODMIOT_89;63 0440 2161 7441 7495 7744;Banque PSA Finance
KONTO_P_271;PODMIOT_90;25 1215 1808 5580 5649 3428;CAIXABANK
KONTO_P_272;PODMIOT_90;79 3882 9588 5440 8379 5509;Bank Pocztowy
KONTO_P_273;PODMIOT_90;73 3115 8130 8233 4691 8688;RCI Banque
KONTO_P_274;PODMIOT_91;53 0390 6982 6860 6194 6120;Fiat Bank Polska
KONTO_P_275;PODMIOT_91;30 6303 5195 1693 8561 0389;RBS Bank
KONTO_P_276;PODMIOT_91;56 1630 6357 9366 3528 2438;HSBC Bank Polska
KONTO_P_277;PODMIOT_91;45 6248 5208 9441 3411 6759;DNB Bank Polska
KONTO_P_278;PODMIOT_92;41 9584 8381 4505 1034 4327;Volkswagen Bank Polska
KONTO_P_279;PODMIOT_92;29 6608 5622 1705 5787 7364;PKO Bank Hipoteczny
KONTO_P_280;PODMIOT_93;46 9515 5047 3912 7263 2469;Haitong Bank, S.A., Oddział w Polsce
KONTO_P_281;PODMIOT_94;16 7602 7985 4158 0484 1350;Idea Bank
KONTO_P_282;PODMIOT_94;22 6109 3783 1872 5523 4980;mBank
KONTO_P_283;PODMIOT_94;20 2776 8409 3457 7696 4456;CAIXABANK
KONTO_P_284;PODMIOT_94;49 7375 6036 4922 3068 5434;ING Bank Śląski
KONTO_P_285;PODMIOT_94;30 7942 8504 5202 4549 6285;Bank Polska Kasa Opieki
KONTO_P_286;PODMIOT_95;42 9370 0771 3749 7771 9786;Bank Ochrony Środowiska
KONTO_P_287;PODMIOT_95;51 9241 3221 7619 1540 8187;Banif Plus Bank
KONTO_P_288;PODMIOT_96;92 3247 9673 8747 9193 6703;Deutsche Bank Polska
KONTO_P_289;PODMIOT_96;66 8819 9159 8400 0563 8322;Mercedes-Benz Bank Polska
KONTO_P_290;PODMIOT_96;49 4754 0953 6724 3324 7447;Western Union
KONTO_P_291;PODMIOT_96;26 1928 8789 7347 3047 0097;Société Générale
KONTO_P_292;PODMIOT_96;34 6477 4152 9643 2421 6639;PKO Bank Hipoteczny
KONTO_P_293;PODMIOT_97;94 9233 3008 7913 9776 5312;Volkswagen Bank Polska
KONTO_P_294;PODMIOT_97;33 4007 8508 1832 9230 6959;Nordea Bank
KONTO_P_295;PODMIOT_97;38 3939 8740 8615 2439 4485;Ikano Bank
KONTO_P_296;PODMIOT_97;54 4437 6306 9137 0074 7366;Aareal Bank
KONTO_P_297;PODMIOT_97;60 0321 2868 0503 4410 5176;Haitong Bank, S.A., Oddział w Polsce
KONTO_P_298;PODMIOT_98;35 3863 4415 7195 3987 4142;Bank Polska Kasa Opieki
KONTO_P_299;PODMIOT_98;66 6820 7660 6118 5791 6369;Skandinaviska Enskilda Banken
KONTO_P_300;PODMIOT_98;33 7833 1736 0678 6353 0739;Nykredit Realkredit
KONTO_P_301;PODMIOT_99;36 3747 8824 6857 3904 6400;CAIXABANK
KONTO_P_302;PODMIOT_100;59 0659 0359 8548 7045 9318;Haitong Bank, S.A., Oddział w Polsce
KONTO_P_303;PODMIOT_101;45 4071 1625 2455 6658 5236;Deutsche Bank Polska
KONTO_P_304;PODMIOT_101;48 4036 9519 6904 8225 4642;BPI Bank Polskich Inwestycji
