id_osoby;imie;nazwisko;pochodzenie;miasto;adres;kod_pocztowy;numer_telefonu;pesel;zawod
OSOBA_15;Aleks;Drop;Hindi;Słupsk;87 Wladyslawa Lokietka;95-531;+48 873 615 617;67120234541;Mim
OSOBA_16;Mateusz;Fiołka;Spanish;Świętochłowice;62 Cicha;43-470;+48 65 132 92 77;65056864302;Sprzedawca
OSOBA_17;Wojciech;Wąsek;Polish;Puławy;59 Ksiezycowa;19-543;+48 42 150 41 24;31204313774;Pośrednik ubezpieczeniowy
OSOBA_18;Lidia;Kośka;Polish;Oświęcim;25 Plazowa;62-257;+48 822 779 892;15335764036;Palacz
OSOBA_19;Bianka;Wawrzynkiewicz;Polish;Piła;76 Lazurowa;98-321;+48 891 900 150;36945020995;Wydawca
OSOBA_20;Fabian;Pilipczuk;Nepali;Ostrów Wielkopolski;08 Krótka;31-348;+48 605 421 604;69943984193;Plastyk
OSOBA_21;Marcel;Sarniak;Polish;Jastrzębie-Zdrój;27 Czestochowska;07-729;+48 525 971 712;25020756053;Agent firmy inwestycyjnej
OSOBA_22;Stefan;Wydrych;Polish;Ostrowiec Świętokrzyski;77 Sarnia;70-760;+48 576 030 338;16243740762;Dziennikarz
OSOBA_23;Emil;Wojciech;Polish;Skawina;49 Malinowa;55-487;+48 79 782 91 85;34428454999;Certyfikator energetyczny
OSOBA_24;Julita;Nóżka;Polish;Skierniewice;52 Zapolskiej;59-982;+48 811 336 977;56638083159;Modelka dużych rozmiarów
OSOBA_25;Kornelia;Gołas;Polish;Bytom;12 Zeglarska;55-753;+48 740 012 125;96966406224;Dyrektor artystyczny
OSOBA_26;Angelika;Sus;USA;Dębica;35 Rolna;28-835;+48 534 701 622;31210643555;Fasowacz
OSOBA_27;Kaja;Siebert;Italian;Legnica;38 Letnia;05-119;+48 563 179 627;79096924260;Kasjer biletowy
OSOBA_28;Aleks;Gumienny;Polish;Radom;57 Dabrowskiej;41-248;+48 32 026 50 60;13660233844;Technik żywienia i gospodarstwa domowego
OSOBA_29;Sandra;Lewko;Slovene;Płońsk;32 Szewska;40-744;+48 599 108 527;58028525675;Technik awionik
OSOBA_30;Marcin;Pasieczna;English;Lębork;48 Miarki;52-858;+48 786 202 220;56752328815;Terapeuta
OSOBA_31;Iwo;Ładniak;Czech;Lublin;68 Waska;61-763;+48 90 774 33 25;56455993456;Konsjerż
OSOBA_32;Marianna;Nytko;Polish;Szczytno;34 Ptasia;09-774;+48 647 650 324;98023014507;Rachmistrz
OSOBA_33;Melania;Filak;English;Nowy Targ;48 Rzeczna;94-139;+48 660 806 018;25532975232;Bankowiec
OSOBA_34;Igor;Jałowiec;Polish;Legionowo;27 Liliowa;05-581;+48 665 489 727;38972709560;Syndyk
OSOBA_35;Jakub;Szarzec;Italian;Augustów;07 Szymanowskiego;51-829;+48 18 350 07 29;55194996860;Broker
OSOBA_36;Mieszko;Buszka;Spanish;Giżycko;44 Jesionowa;50-929;+48 695 201 255;37833474177;Konsultant
OSOBA_37;Tomasz;Roj;Canada;Rybnik;41 Perlowa;09-739;+48 77 366 53 70;42257272375;Mim
OSOBA_38;Lidia;Kucz;Australia;Gorlice;30 Szpitalna;29-554;+48 844 576 615;27710759049;Ratownik
OSOBA_39;Ryszard;Gzyl;Polish;Wodzisław Śląski;82 Jarzebinowa;61-622;+48 558 407 033;40011122825;Listonosz
OSOBA_40;Kaja;Staśko;Polish;Łuków;42 Malinowa;95-646;+48 758 576 643;14025691282;Archiwista
OSOBA_41;Blanka;Cegła;Taiwan;Pruszcz Gdański;72 Zytnia;49-426;+48 860 237 387;22076147858;Syndyk
OSOBA_42;Błażej;Zięcik;Taiwan;Łuków;73 Brzechwy;28-140;+48 780 965 191;82669443210;Redaktor naukowy
OSOBA_43;Ernest;Jędruch;Norwegian;Tarnów;17 Rolnicza;88-428;+48 91 625 82 92;54758744210;Barista
OSOBA_44;Marika;Raba;Polish;Ostrów Wielkopolski;98 Zacisze;88-619;+48 775 563 676;72005103760;Dziennikarz
OSOBA_45;Marcel;Lepa;Polish;Legionowo;58 Staffa;04-803;+48 560 516 001;75380170898;Strażak
OSOBA_46;Iwo;Kuba;Polish;Łaziska Górne;83 Jeziorna;14-198;+48 690 244 247;84891416727;Kupiec
OSOBA_47;Grzegorz;Wyłupek;Polish;Świdnica;66 Czeresniowa;58-082;+48 670 745 120;95951487125;Tłumacz literacki
OSOBA_48;Konstanty;Dziedzina;Polish;Legionowo;71 Batalionów Chlopskich;18-955;+48 801 060 986;60412061858;Stajenny
OSOBA_49;Krystyna;Jambor;Latvian;Łomża;65 Miodowa;18-172;+48 693 284 810;16643307547;Drwal
OSOBA_50;Cyprian;Wasyluk;German;Wejherowo;41 Rybacka;90-280;+48 71 464 57 18;70110251175;Model
OSOBA_51;Anita;Obarzanek;Polish;Sosnowiec;19 Czestochowska;38-720;+48 866 604 905;27668033718;Pracownik socjalny
OSOBA_52;Anastazja;Łuc;Polish;Sandomierz;39 Fiolkowa;50-254;+48 885 430 817;75917127854;Kosmonauta
OSOBA_53;Leonard;Ufnal;USA;Płońsk;00 Bema;30-198;+48 529 026 662;73715431600;Główny księgowy
OSOBA_54;Aniela;Kott;Polish;Nowy Dwór Mazowiecki;98 Piwna;20-033;+48 868 272 553;34240577757;Technik mechanik okrętowy
OSOBA_55;Krystyna;Czubaj;Swedish;Inowrocław;89 Slaska;83-026;+48 637 165 075;22983684291;Drwal
OSOBA_56;Cyprian;Kałwa;Polish;Jawor;12 Paderewskiego;12-942;+48 778 620 330;63638487229;Doradca finansowy
OSOBA_57;Jakub;Wołoszyk;Portugal;Piastów;54 Sloneczna;22-184;+48 503 947 295;27999998153;Broker ubezpieczeniowy
OSOBA_58;Andrzej;Szymańczyk;Polish;Kołobrzeg;80 Górnicza;31-854;+48 782 183 452;17961386188;Mim
OSOBA_59;Aleks;Kłosiewicz;Swedish;Opole;65 Strzelecka;56-552;+48 734 072 913;86593812679;Ratownik przedmedyczny
OSOBA_60;Gustaw;Plak;Polish;Jawor;06 Brzechwy;67-710;+48 557 600 033;97849041097;Naukowiec
OSOBA_61;Emil;Pacholak;Latvian;Tarnów;68 Szewska;95-880;+48 690 978 313;90715617487;Nauczyciel akademicki
OSOBA_62;Julita;Klimko;Polish;Czechowice-Dziedzice;61 Polna;16-580;+48 08 885 57 60;61655039683;Grabarz
OSOBA_63;Kazimierz;Wizner;Polish;Żywiec;08 Skrajna;78-475;+48 560 224 564;29000663268;Bibliotekarz dyplomowany
OSOBA_64;Klara;Geisler;Polish;Sanok;34 Rubinowa;89-235;+48 890 695 226;16498761997;Scenograf
OSOBA_65;Antoni;Zięcik;Canada;Kutno;03 Glówna;08-004;+48 632 695 571;26351956205;Poganiacz
OSOBA_66;Eryk;Kulisz;English;Sosnowiec;14 Fiolkowa;96-723;+48 25 302 89 27;61417994473;Ebenista
OSOBA_67;Anna;Maria;Norwegian;Ruda Śląska;34 Kalinowa;69-016;+48 716 510 879;51671963890;Hostessa
OSOBA_68;Antoni;Jędruszczak;Polish;Cieszyn;26 Olchowa;27-739;+48 88 964 47 86;21447186687;Dziennikarz
OSOBA_69;Rafał;Narożna;Polish;Wołomin;69 Staszica;91-608;+48 892 903 776;58172190968;Technik mechanik lotniczy
OSOBA_70;Krzysztof;Goska;Czech;Ostrów Wielkopolski;88 Lubelska;91-552;+48 16 517 71 46;98808074480;Sprzątacz
OSOBA_71;Marianna;Litwinowicz;Slovene;Białystok;44 Rolnicza;28-550;+48 876 098 519;87108655354;Makler papierów wartościowych
OSOBA_72;Sandra;Karalus;Portugal;Będzin;33 Krucza;26-961;+48 699 118 315;20982364428;Strażak
OSOBA_73;Maksymilian;Buszkiewicz;Polish;Ostrów Mazowiecka;71 Brzozowa;23-380;+48 762 613 323;95282006276;Iluzjonista
OSOBA_74;Ewa;Tywoniuk;Lithuanian;Szczecinek;02 Perlowa;36-687;+48 660 166 080;13693210904;Pisarz
OSOBA_75;Rafał;Patoła;Australia;Piła;68 Handlowa;36-824;+48 701 009 838;15762731290;Plastyk
OSOBA_76;Patryk;Choina;Polish;Środa Wielkopolska;05 Piwna;09-465;+48 32 686 26 12;39636164888;Babcia klozetowa
OSOBA_77;Natan;Gorgol;Polish;Gorlice;21 Zwirowa;14-133;+48 736 850 521;81313009939;Model
OSOBA_78;Adrianna;Nieborak;Danish;Konin;05 Teczowa;10-592;+48 84 661 30 25;52221022492;Rzeczoznawca
OSOBA_79;Ernest;Supeł;Russian;Brodnica;31 Robotnicza;48-863;+48 542 815 320;50867765535;Geolog
OSOBA_80;Fryderyk;Korzonek;Polish;Czechowice-Dziedzice;77 Andersa;77-336;+48 895 551 824;76033294626;Rzeczoznawca samochodowy
OSOBA_81;Olgierd;Miętus;Polish;Jarosław;08 Swierkowa;63-388;+48 820 540 240;21605570871;Redaktor techniczny
OSOBA_82;Kamila;Grzywnowicz;German;Otwock;20 Cisowa;11-752;+48 36 953 03 84;97273157944;Lekarz weterynarii
OSOBA_83;Ewa;Gadzała;Russian;Sosnowiec;01 Zeglarska;72-059;+48 672 032 032;52373272908;Portier
OSOBA_84;Rafał;Felisiak;Polish;Katowice;05 Wislana;87-447;+48 656 239 784;20406485728;Barista
OSOBA_85;Paweł;Bodych;Persian;Skierniewice;48 Szymanowskiego;56-296;+48 773 463 456;40093987153;Hostessa
OSOBA_86;Oskar;Wojtiuk;Finnish;Tarnobrzeg;57 Zaulek;80-678;+48 754 804 828;20077257048;Technik handlowiec
OSOBA_87;Miłosz;Masny;Polish;Wągrowiec;83 Sciegiennego;86-375;+48 557 595 889;79585532236;Technik budownictwa
OSOBA_88;Julita;Frycz;Latvian;Krosno;76 Rajska;04-848;+48 611 004 431;66154801489;Podleśniczy
OSOBA_89;Filip;Fras;Polish;Chorzów;88 Partyzantów;72-292;+48 836 517 118;85361731933;Ekonomista
OSOBA_90;Miłosz;Sąsiadek;Spanish;Legionowo;50 Grzybowa;33-473;+48 819 395 919;66106997099;Ekonomista
OSOBA_91;Olgierd;Bas;Polish;Wołomin;04 Kazimierza Wielkiego;70-359;+48 573 415 201;45232636273;Modelka dużych rozmiarów
OSOBA_92;Klara;Bubel;Polish;Koło;21 Broniewskiego;02-672;+48 568 642 138;33408952703;Architekt wnętrz
OSOBA_93;Norbert;Bazylewicz;Polish;Bochnia;08 Spóldzielcza;67-333;+48 747 453 789;93732422698;Niania
OSOBA_94;Ada;Kokosza;Greek;Tomaszów Mazowiecki;03 Leszczynowa;25-447;+48 753 369 151;69839614334;Zarządca nieruchomości
OSOBA_95;Patryk;Kaczan;Portugal;Jelenia Góra;65 Rybacka;81-783;+48 89 494 65 01;41853637005;Rybak
OSOBA_96;Łukasz;Sędek;Slovene;Kielce;45 Stroma;74-249;+48 61 718 43 77;54075382163;Rzeczoznawca
OSOBA_97;Adrian;Jachna;Dutch;Bolesławiec;49 Przemyslowa;55-439;+48 20 562 96 32;43323490715;Tłumacz literacki
OSOBA_98;Cezary;Kołodziejak;Polish;Myszków;41 Drzymaly;52-615;+48 687 534 753;67578726810;Trener personalny
OSOBA_99;Arkadiusz;Słowiak;Spanish;Sanok;16 Lazurowa;76-658;+48 731 223 007;86723828119;Kurier rowerowy
OSOBA_100;Wojciech;Polewka;Polish;Chełm;58 Narutowicza;18-150;+48 60 624 15 86;32713882021;Portier
OSOBA_101;Kamila;Fojt;Polish;Zakopane;90 Laczna;78-210;+48 848 154 634;85299303478;Inżynier budownictwa
OSOBA_102;Konrad;Starostka;Polish;Zduńska Wola;93 Nowowiejska;07-003;+48 757 212 909;30314647985;Salowa
OSOBA_103;Kajetan;Kalarus;Russian;Siemianowice Śląskie;11 Sikorskiego;42-042;+48 750 760 189;97844683172;Finansista
OSOBA_104;Adrianna;Siedlarz;Polish;Słupsk;07 Górska;91-005;+48 560 500 927;20311464383;Liczmen
OSOBA_105;Ida;Szałas;Polish;Czeladź;55 Walowa;50-982;+48 66 496 52 44;15201290694;Bankowiec
OSOBA_106;Karina;Bodzak;Portugal;Zduńska Wola;33 Wojciecha;66-210;+48 688 645 800;99789187511;Przewodnik turystyczny
OSOBA_107;Adam;Mizak;Slovene;Jawor;81 Poludniowa;05-238;+48 10 246 41 56;85274354113;Astronom
OSOBA_108;Marika;Wojtoń;French;Sandomierz;47 Witosa;90-423;+48 725 319 646;44741350468;Stajenny
OSOBA_109;Ewa;Pajek;Greek;Ostrołęka;04 Kazimierza Wielkiego;63-613;+48 735 062 593;17382429138;Teksturator
OSOBA_110;Ewa;Frydrychowicz;Polish;Włocławek;14 Wysoka;50-153;+48 809 284 283;71096869328;Zoopsycholog
OSOBA_111;Rafał;Dybał;Polish;Kluczbork;19 Kilinskiego;75-000;+48 718 343 304;74759547344;Technik awionik
OSOBA_112;Antoni;Migała;Turkish;Ząbki;17 Waska;15-087;+48 577 301 216;80838320593;Hydraulik
OSOBA_113;Krystyna;Utrata;Czech;Kwidzyn;87 Nowowiejska;75-707;+48 01 099 78 04;57378279902;Rzecznik prasowy
OSOBA_114;Eryk;Opoka;Canada;Tarnów;80 Dzialkowa;03-927;+48 602 074 526;81315045853;Szatniarz
OSOBA_115;Anita;Gnyp;Slovene;Tarnowskie Góry;07 Milosza;95-104;+48 04 718 27 25;73909854690;Likwidator szkód
OSOBA_116;Dominik;Dydak;Polish;Tychy;17 Towarowa;75-464;+48 634 364 642;99879455198;Technik nawigator morski
OSOBA_117;Franciszek;Kupaj;Taiwan;Ostrowiec Świętokrzyski;79 Widok;38-324;+48 752 564 390;63480889834;Robotnik
OSOBA_118;Oliwier;Księżyk;Italian;Grudziądz;63 Slowicza;75-267;+48 720 148 918;82699198953;Bankowiec
OSOBA_119;Mikołaj;Windak;Polish;Goleniów;89 Lipowa;79-162;+48 838 748 214;42032947701;Nadleśniczy
OSOBA_120;Krzysztof;Kiedrowicz;Polish;Ostrów Wielkopolski;08 Storczykowa;67-415;+48 614 559 867;71422798319;Klechdarz
OSOBA_121;Alan;Kruszka;Canada;Jawor;82 Krótka;51-734;+48 26 802 56 39;27800134139;Elektromonter pomiarów
OSOBA_122;Dawid;Linda;Polish;Knurów;13 Szkolna;63-351;+48 15 393 74 55;98010405356;Koniarze
OSOBA_123;Bartek;Musiała;USA;Bielsk Podlaski;76 Skrajna;27-918;+48 734 467 356;56383248889;Syndyk
OSOBA_124;Gaja;Sorbian;Polish;Łomża;69 Sloneczna;69-051;+48 731 950 426;71233135101;Lekarz weterynarii
OSOBA_125;Janina;Wocial;Polish;Jawor;62 Teczowa;69-342;+48 601 800 700;89577251322;Biegły rewident
OSOBA_126;Przemysław;Dulik;Danish;Skarżysko-Kamienna;68 Maczka;37-176;+48 54 575 69 22;37315176969;Konserwator zabytków
OSOBA_127;Przemysław;Fal;Norwegian;Leszno;46 Boleslawa Chrobrego;77-916;+48 826 576 509;80276040197;Rzeczoznawca
OSOBA_128;Marianna;Sojda;Polish;Sosnowiec;43 Narutowicza;99-588;+48 848 378 266;99139000835;Pośrednik ubezpieczeniowy
OSOBA_129;Angelika;Gryszkiewicz;Polish;Inowrocław;36 Bydgoska;07-311;+48 699 764 798;12207045146;Reporter wojenny
OSOBA_130;Jeremi;Hamera;Australia;Olkusz;38 Kollataja;84-651;+48 864 035 785;77266327625;Hycel
OSOBA_131;Kaja;Kiciak;Portugal;Ostrów Mazowiecka;72 Cmentarna;65-060;+48 866 118 493;15041903133;Politolog
OSOBA_132;Liwia;Mateńko;Australia;Nowa Sól;56 Jana;46-260;+48 521 890 717;58433301017;Detektyw
OSOBA_133;Cyprian;Juśkiewicz;Polish;Polkowice;38 Kilinskiego;65-281;+48 802 058 862;91893154322;Nadleśniczy
OSOBA_134;Ignacy;Niklewicz;Lithuanian;Żyrardów;46 Srebrna;25-924;+48 615 143 994;21488069719;Aktor
OSOBA_135;Aleks;Bronka;Greek;Chojnice;68 Cisowa;99-185;+48 780 911 012;94077606421;Technik nawigator morski
OSOBA_136;Inga;Bak;Lithuanian;Kalisz;35 Zbozowa;93-667;+48 682 785 591;82919193113;Naukowiec
OSOBA_137;Roksana;Majewicz;Swedish;Szczytno;12 Zakatek;40-424;+48 585 752 060;56774259232;Służący
OSOBA_138;Norbert;Przewoźnik;Czech;Łomża;60 Szeroka;30-836;+48 27 537 08 06;70748598815;Kurier rowerowy
OSOBA_139;Blanka;Tylman;Polish;Krosno;61 Cmentarna;48-181;+48 624 967 706;50778018341;Kosmonauta
OSOBA_140;Liwia;Gerlach;Polish;Wodzisław Śląski;89 Popieluszki;95-057;+48 64 264 65 56;96589107747;Poganiacz
OSOBA_141;Patryk;Cacko;USA;Wałcz;98 Ludowa;92-688;+48 888 426 618;83638661674;Grabarz
OSOBA_142;Leonard;Kryszczuk;English;Ruda Śląska;54 Fabryczna;39-928;+48 694 324 886;76116251181;Syndyk licencjonowany
OSOBA_143;Anastazja;Twardosz;Mexico;Ostrów Wielkopolski;08 Willowa;59-075;+48 585 919 962;80597084717;Rachmistrz
OSOBA_144;Olgierd;Kolber;USA;Konin;28 Przemyslowa;77-953;+48 595 048 793;49029173825;Architekt krajobrazu
OSOBA_145;Janina;Andrearczyk;Polish;Dąbrowa Górnicza;04 Reymonta;68-101;+48 754 190 607;69415977535;Inżynier budownictwa
OSOBA_146;Anita;Wikło;English;Czechowice-Dziedzice;02 Dluga;88-013;+48 568 671 848;92362881595;Salowa
OSOBA_147;Stefan;Bubel;Polish;Śrem;58 Srednia;47-435;+48 758 807 483;74892655398;Pucybut
OSOBA_148;Lidia;Wziątek;German;Jarocin;11 Strumykowa;48-887;+48 686 156 161;40852961866;Technik elektronik
OSOBA_149;Igor;Wawszczak;Italian;Czerwionka-Leszczyny;07 Kruczkowskiego;60-747;+48 569 978 327;45284072017;Supermodelka
OSOBA_150;Dominik;Kubiaczyk;Lithuanian;Wodzisław Śląski;98 Sybiraków;87-325;+48 761 677 819;35999509078;Kierowca
OSOBA_151;Radosław;Majos;Japanese;Skierniewice;70 Rolnicza;49-101;+48 49 129 34 78;18949550860;Ergonomista
OSOBA_152;Inga;Sieg;Polish;Siemianowice Śląskie;39 Makowa;78-636;+48 723 138 128;42414521437;Handlarz
OSOBA_153;Fabian;Osial;Polish;Wrocław;23 Koralowa;76-568;+48 530 839 933;47280160518;Sztygar
OSOBA_154;Bartek;Pietrek;Polish;Bielsk Podlaski;93 Popieluszki;25-511;+48 701 208 936;38730898017;Rzeczoznawca
OSOBA_155;Roksana;Han;Polish;Oława;35 Gajowa;03-367;+48 564 966 955;98310615639;Stajenny
OSOBA_156;Sandra;Piechna;Polish;Kwidzyn;27 Koralowa;65-339;+48 886 015 084;42320990821;Kawiarka
OSOBA_157;Stefan;Janczarek;Polish;Ostrów Mazowiecka;56 Bursztynowa;07-396;+48 538 901 737;89492527707;Pisarz
OSOBA_158;Mieszko;Majorczyk;Russian;Sochaczew;80 Dabrowskiego;89-786;+48 87 628 30 28;10069510766;Trener personalny
OSOBA_159;Ida;Gierek;Polish;Słupsk;81 Czarnieckiego;99-067;+48 33 272 24 98;73857335904;Pucybut
OSOBA_160;Kamil;Drobik;Polish;Łaziska Górne;67 Kwiatowa;69-056;+48 785 893 260;14087668339;Inżynier
OSOBA_161;Krystian;Rajman;Polish;Biłgoraj;40 Fabryczna;41-914;+48 886 836 495;57211417194;Pracownik socjalny
OSOBA_162;Andrzej;Górnisiewicz;Canada;Włocławek;07 Labedzia;91-306;+48 636 174 231;17677552247;Krupier
OSOBA_163;Stefan;Leszczuk;Bulgarian;Bielsko-Biała;92 Wypoczynkowa;33-284;+48 537 081 405;75318448752;Portier
OSOBA_164;Julian;Kozubal;English;Starachowice;79 Teczowa;86-888;+48 564 227 359;36123155066;Klechdarz
OSOBA_165;Apolonia;Ciesielczyk;Norwegian;Inowrocław;14 Zapolskiej;23-497;+48 696 649 303;68649800309;Doradca finansowy
OSOBA_166;Andrzej;Kowala;Polish;Tczew;52 Wrzosowa;59-491;+48 701 264 921;76884783734;Producent wykonawczy
OSOBA_167;Monika;Tonder;Polish;Ząbki;15 Harcerska;65-272;+48 896 182 585;38793755268;Palacz
OSOBA_168;Blanka;Moździerz;German;Oleśnica;60 Ogrodowa;46-362;+48 517 237 062;27388826248;Zarządca nieruchomości
OSOBA_169;Kamil;Krystkowiak;Polish;Czeladź;72 Wyzwolenia;07-829;+48 578 041 136;75165477510;Makler giełd towarowych
OSOBA_170;Ewa;Powązka;Brazil;Skawina;64 Klasztorna;97-091;+48 763 701 501;87315542660;Aktuariusz
OSOBA_171;Karol;Chalimoniuk;Polish;Płońsk;44 Zakole;26-900;+48 637 695 509;36650849383;Żongler
OSOBA_172;Tobiasz;Brząkała;Polish;Ząbki;66 Poznanska;20-934;+48 737 020 687;76632640142;Żołnierz
OSOBA_173;Antoni;Pietrek;Italian;Inowrocław;90 Kosciuszki;68-696;+48 51 582 61 21;38487974556;Makler nadzorujący
OSOBA_174;Roksana;Stawczyk;Polish;Mielec;20 Szymanowskiego;68-910;+48 668 736 077;16160905891;Dyrektor finansowy
OSOBA_175;Marianna;Wisła;Australia;Koszalin;67 Piwna;01-925;+48 758 334 475;78263366295;Brakarz
OSOBA_176;Norbert;Szumny;Dutch;Stargard Szczeciński;86 Letniskowa;63-585;+48 80 934 03 92;18661132966;Sztygar
OSOBA_177;Józef;Dyszy;French;Bełchatów;40 Daszynskiego;72-484;+48 599 160 201;45698564769;Kierowca
OSOBA_178;Sylwia;Sarosiek;Slovene;Ostrów Mazowiecka;82 Wybickiego;70-475;+48 693 675 718;83875392266;Elektromonter pomiarów
OSOBA_179;Leon;Robaszkiewicz;Swedish;Sosnowiec;60 Morcinka;42-669;+48 604 186 270;30438826670;Motorniczy
OSOBA_180;Ewa;Płodzień;English;Chojnice;75 Dlugosza;24-824;+48 719 064 993;23752921779;Marynarz
OSOBA_181;Anastazja;Dąbroś;Polish;Sandomierz;51 Wiejska;30-765;+48 621 517 057;41788594867;Kawalkator
OSOBA_182;Eryk;Strzępek;USA;Mława;56 Andersa;25-756;+48 563 193 134;80546806444;Dyrektor kreatywny
OSOBA_183;Anita;Dawidek;Polish;Myszków;84 Slaska;62-626;+48 02 447 09 87;11827292863;Perfumiarz
OSOBA_184;Róża;Tokaj;German;Pruszcz Gdański;27 Kolonia;43-516;+48 36 071 45 02;64999704679;Konferansjer
OSOBA_185;Sonia;Ufniarz;Italian;Wałcz;23 Zapolskiej;49-041;+48 773 250 641;93129116340;Psiarz
OSOBA_186;Tola;Łapot;Italian;Kielce;45 Zlota;38-705;+48 517 716 669;73446691515;Rybak
OSOBA_187;Jędrzej;Ruszczak;Spanish;Wałcz;12 Irysowa;77-243;+48 794 004 366;96625294021;Geolog
OSOBA_188;Ida;Ludwiniak;Polish;Brodnica;21 Robotnicza;64-031;+48 694 464 512;15519380191;Dziennikarz
OSOBA_189;Ignacy;Tereszkiewicz;Taiwan;Stargard Szczeciński;53 Wrzosowa;62-230;+48 762 937 564;88467673808;Dziennikarz
OSOBA_190;Anita;Zbróg;Italian;Mysłowice;29 Perlowa;93-445;+48 570 065 385;80807025367;Ksiądz
OSOBA_191;Klara;Chomiuk;French;Mikołów;93 Makowa;62-545;+48 593 334 536;26757815012;Bibliotekarz dyplomowany
OSOBA_192;Robert;Bik;Polish;Częstochowa;13 Koscielna;66-932;+48 802 429 991;40619905766;Agent ubezpieczeniowy
OSOBA_193;Nela;Szarpak;Australia;Zamość;61 Czeresniowa;07-597;+48 505 100 937;53615626989;Charakteryzator
OSOBA_194;Ewa;Chołody;Norwegian;Legnica;95 Bukowa;36-903;+48 896 007 982;16050907906;Likwidator szkód
OSOBA_195;Antoni;Kiliszek;Swedish;Luboń;28 Letniskowa;06-378;+48 633 308 363;95173372658;Konsultant
OSOBA_196;Apolonia;Calik;Australia;Białystok;80 Wiosenna;56-793;+48 817 430 127;63409603325;Tokarz
OSOBA_197;Tadeusz;Staśko;Greek;Łomża;89 Dojazdowa;58-147;+48 11 498 40 07;69032442620;Plastyk
OSOBA_198;Eryk;Pośnik;Polish;Bielsk Podlaski;12 Brzozowa;09-358;+48 53 093 00 38;21584347912;Sprzedawca
OSOBA_199;Dominik;Elias;Canada;Bielsko-Biała;09 Glowackiego;00-710;+48 882 661 349;57729000194;Reporter wojenny
OSOBA_200;Marcelina;Boksa;Italian;Oława;00 Sloneczna;40-752;+48 630 279 627;97143997178;Modelka dużych rozmiarów
OSOBA_201;Tola;Tałaj;Polish;Koszalin;55 Warszawska;98-395;+48 848 037 293;15682345750;Barman
OSOBA_202;Olgierd;Kalka;Polish;Brodnica;57 Magnoliowa;54-588;+48 784 316 985;97573593862;Doradca finansowy
OSOBA_203;Sonia;Para;Polish;Kętrzyn;26 Kilinskiego;23-389;+48 540 347 914;94511684359;Intendent
OSOBA_204;Norbert;Kinder;Polish;Bydgoszcz;87 Widok;60-900;+48 07 219 29 06;80017376021;Kostiumograf
OSOBA_205;Łukasz;Melaniuk;Polish;Kwidzyn;61 Wyspianskiego;81-875;+48 871 087 358;74143075096;Nadleśniczy
OSOBA_206;Monika;Beker;Polish;Inowrocław;51 Zdrojowa;28-154;+48 72 809 58 54;59536519965;Kornak
OSOBA_207;Bartek;Jodko;Polish;Gorzów Wielkopolski;87 Kielecka;14-880;+48 529 186 745;66136564513;Lalkarz
OSOBA_208;Dariusz;Żero;Swedish;Iława;15 Jasna;74-461;+48 642 363 696;36249133184;Technik elektronik
OSOBA_209;Monika;Cis;Lithuanian;Jelenia Góra;46 Widokowa;14-378;+48 536 066 041;11173534517;Barista
OSOBA_210;Natan;Stanisławek;Slovene;Świecie;35 Zródlana;28-952;+48 550 974 717;52596820781;Zarządca nieruchomości
OSOBA_211;Fryderyk;Mrozowicz;German;Kwidzyn;67 Rzemieslnicza;22-944;+48 840 539 322;92781134283;Intendent
